raceId,driverId,stop,lap,time,duration,milliseconds
1131,839,1,19,15:25:51,22.291,22291
1131,822,1,19,15:26:01,21.918,21918
1131,842,1,20,15:27:05,21.431,21431
1131,840,1,20,15:27:11,21.399,21399
1131,858,2,20,15:27:51,22.502,22502
1131,1,1,21,15:28:03,21.563,21563
1131,815,1,21,15:28:10,21.291,21291
1131,852,1,21,15:28:21,21.250,21250
1131,847,1,22,15:29:09,21.673,21673
1131,832,1,22,15:29:12,21.226,21226
1131,830,1,23,15:30:10,21.899,21899
1131,846,1,23,15:30:16,21.617,21617
1131,857,1,25,15:32:49,20.978,20978
1131,855,1,28,15:37:09,23.198,23198
1131,844,3,33,15:43:03,22.243,22243
1131,4,2,35,15:45:19,33.947,33947
1131,817,2,37,15:47:39,21.093,21093
1131,825,2,38,15:48:49,21.832,21832
1131,807,2,39,15:49:55,21.814,21814
1131,848,2,39,15:50:11,21.692,21692
1131,842,2,42,15:53:40,22.043,22043
1131,822,2,42,15:53:49,21.991,21991
1131,839,2,43,15:54:52,21.231,21231
1131,840,2,43,15:54:58,21.302,21302
1131,852,2,44,15:56:07,23.444,23444
1131,847,2,46,15:57:41,21.229,21229
1131,832,2,47,15:58:55,21.283,21283
1131,858,3,49,16:03:04,22.093,22093
1131,830,2,51,16:03:13,25.841,25841
1131,846,2,51,16:03:21,21.411,21411
1131,857,2,51,16:03:40,20.775,20775
1131,815,2,51,16:04:03,27.500,27500
1131,844,4,51,16:04:33,20.903,20903
1131,855,2,51,16:05:02,21.594,21594
1131,1,2,53,16:06:06,27.281,27281
1131,830,3,64,16:19:06,22.729,22729
1131,4,3,68,16:25:31,22.487,22487
1132,855,1,12,15:22:07,29.178,29178
1132,844,1,19,15:32:51,28.481,28481
1132,815,1,19,15:32:59,28.391,28391
1132,839,1,19,15:33:21,28.495,28495
1132,855,2,19,15:33:46,29.838,29838
1132,839,2,21,15:37:02,28.276,28276
1132,830,1,26,15:43:41,28.365,28365
1132,832,1,26,15:43:42,29.199,29199
1132,807,1,26,15:43:59,29.412,29412
1132,840,1,26,15:44:01,29.023,29023
1132,817,1,26,15:44:23,28.875,28875
1132,822,1,26,15:44:42,30.628,30628
1132,846,1,27,15:45:13,28.661,28661
1132,1,1,27,15:45:17,28.929,28929
1132,847,1,27,15:45:20,32.045,32045
1132,4,1,27,15:45:51,29.341,29341
1132,852,1,27,15:45:52,30.000,30000
1132,848,1,27,15:45:53,34.742,34742
1132,839,3,26,15:45:57,29.289,29289
1132,825,1,27,15:45:59,30.308,30308
1132,858,1,27,15:46:01,32.801,32801
1132,855,3,26,15:46:39,29.125,29125
1132,857,1,28,15:47:12,29.541,29541
1132,844,2,27,15:47:17,29.233,29233
1132,815,2,28,15:49:13,32.313,32313
1132,825,2,37,16:03:41,29.884,29884
1132,817,2,37,16:03:44,29.873,29873
1132,822,2,37,16:04:05,31.527,31527
1132,1,2,38,16:04:09,30.038,30038
1132,830,2,38,16:04:14,29.076,29076
1132,857,2,38,16:04:29,29.200,29200
1132,844,3,37,16:04:40,29.166,29166
1132,815,3,37,16:04:59,29.300,29300
1132,4,2,38,16:05:03,29.686,29686
1132,852,2,38,16:05:07,29.658,29658
1132,848,2,38,16:05:11,29.410,29410
1132,858,2,38,16:05:23,29.444,29444
1132,846,2,39,16:05:44,30.387,30387
1132,855,4,37,16:06:00,33.083,33083
1132,832,2,39,16:06:06,29.097,29097
1132,807,2,39,16:06:28,30.265,30265
1132,840,2,39,16:06:33,29.469,29469
1132,839,4,38,16:06:52,29.086,29086
1132,815,4,47,16:20:38,28.871,28871
1132,832,3,50,16:22:59,28.706,28706
1133,807,1,2,15:06:01,22.287,22287
1133,848,1,6,15:11:43,22.091,22091
1133,825,1,6,15:11:43,21.871,21871
1133,839,1,6,15:11:47,21.829,21829
1133,4,1,7,15:13:05,22.542,22542
1133,817,1,7,15:13:08,21.084,21084
1133,855,1,7,15:13:15,21.993,21993
1133,858,1,8,15:14:38,21.757,21757
1133,840,1,14,15:23:01,23.237,23237
1133,1,1,16,15:25:36,21.306,21306
1133,822,1,16,15:25:58,22.146,22146
1133,846,1,17,15:26:55,21.861,21861
1133,857,1,18,15:28:15,21.641,21641
1133,830,1,21,15:32:38,22.101,22101
1133,832,1,21,15:32:46,21.655,21655
1133,844,1,23,15:35:30,21.894,21894
1133,815,1,28,15:43:04,21.395,21395
1133,842,1,28,15:43:16,21.405,21405
1133,817,2,28,15:43:23,21.378,21378
1133,852,1,29,15:44:27,21.467,21467
1133,807,2,29,15:44:45,22.472,22472
1133,848,2,29,15:44:46,23.410,23410
1133,839,2,30,15:46:17,21.444,21444
1133,847,1,33,15:50:09,21.369,21369
1133,858,2,33,15:50:34,21.398,21398
1133,825,2,34,15:51:57,22.531,22531
1133,855,2,36,15:55:03,22.183,22183
1133,4,2,37,15:55:57,21.800,21800
1133,1,2,40,15:59:28,21.910,21910
1133,844,2,40,15:59:29,21.723,21723
1133,846,2,45,16:06:18,21.249,21249
1133,840,2,45,16:07:17,22.276,22276
1133,822,2,45,16:07:35,21.981,21981
1133,857,2,47,16:09:05,21.823,21823
1133,832,2,47,16:09:23,21.439,21439
1133,815,2,47,16:09:46,21.056,21056
1133,830,2,49,16:12:02,21.344,21344
1133,847,2,53,16:18:05,21.328,21328
1133,858,3,63,16:33:22,21.908,21908
1133,839,3,64,16:34:46,21.330,21330
1134,807,1,7,15:17:00,23.562,23562
1134,848,1,8,15:18:45,23.606,23606
1134,817,1,8,15:18:49,22.643,22643
1134,858,1,8,15:18:55,23.338,23338
1134,842,1,9,15:20:39,22.900,22900
1134,847,1,10,15:22:19,22.686,22686
1134,830,1,10,15:22:21,23.214,23214
1134,1,1,11,15:24:02,23.188,23188
1134,815,1,11,15:24:06,22.692,22692
1134,857,1,11,15:24:08,22.623,22623
1134,822,1,11,15:24:22,23.147,23147
1134,844,1,12,15:25:53,22.942,22942
1134,839,1,12,15:26:11,23.366,23366
1134,840,1,12,15:26:15,23.010,23010
1134,4,1,13,15:27:58,23.075,23075
1134,846,1,15,15:31:29,22.682,22682
1134,852,1,15,15:31:55,23.452,23452
1134,825,1,17,15:35:32,23.619,23619
1134,832,1,20,15:40:33,23.080,23080
1134,807,2,20,15:41:12,23.268,23268
1134,815,2,21,15:42:34,22.648,22648
1134,817,2,21,15:42:55,22.328,22328
1134,848,2,23,15:46:34,23.146,23146
1134,858,2,24,15:48:46,23.692,23692
1134,844,2,25,15:49:39,23.330,23330
1134,1,2,26,15:51:24,22.704,22704
1134,830,2,28,15:55:10,22.943,22943
1134,832,2,28,15:55:17,23.089,23089
1134,842,2,28,15:55:46,22.844,22844
1134,846,2,29,15:56:59,22.610,22610
1134,857,2,30,15:58:38,24.125,24125
1134,839,2,30,15:59:14,23.546,23546
1134,822,2,35,16:08:31,22.949,22949
1134,815,3,42,16:20:40,22.632,22632
1135,848,1,12,15:18:56,21.258,21258
1135,807,1,14,15:21:26,21.619,21619
1135,852,1,14,15:21:27,21.249,21249
1135,822,1,15,15:22:50,21.095,21095
1135,855,1,18,15:26:53,21.214,21214
1135,858,1,22,15:32:00,22.030,22030
1135,1,1,23,15:32:56,21.168,21168
1135,844,1,24,15:33:57,20.841,20841
1135,847,1,25,15:35:11,21.846,21846
1135,830,1,27,15:37:39,20.785,20785
1135,846,1,28,15:38:48,21.536,21536
1135,815,1,29,15:40:23,22.934,22934
1135,817,1,29,15:40:51,20.942,20942
1135,832,1,30,15:41:41,20.840,20840
1135,840,1,30,15:42:05,21.385,21385
1135,839,1,30,15:42:17,21.015,21015
1135,4,1,31,15:43:19,21.348,21348
1135,842,1,32,15:44:31,22.646,22646
1135,852,2,32,15:44:50,20.880,20880
1135,857,1,33,15:45:22,20.969,20969
1135,825,1,40,15:55:10,21.403,21403
1135,822,2,43,15:59:12,21.273,21273
1135,1,2,48,16:04:40,21.026,21026
1135,855,2,51,16:09:57,22.044,22044
1135,847,2,54,16:12:03,21.159,21159
1135,848,2,54,16:13:00,21.016,21016
1136,807,1,5,15:10:58,38.875,38875
1136,842,1,10,15:18:08,24.335,24335
1136,847,1,11,15:19:22,32.696,32696
1136,817,1,11,15:19:31,30.317,30317
1136,4,1,12,15:20:54,24.866,24866
1136,846,1,14,15:23:26,24.169,24169
1136,825,1,14,15:23:48,25.672,25672
1136,844,1,15,15:24:52,24.551,24551
1136,1,1,15,15:24:58,24.469,24469
1136,855,1,15,15:25:28,27.138,27138
1136,857,1,16,15:26:13,23.793,23793
1136,861,1,16,15:26:50,25.147,25147
1136,848,1,17,15:28:04,24.801,24801
1136,832,1,19,15:30:37,24.313,24313
1136,840,1,19,15:31:07,24.980,24980
1136,830,1,22,15:34:56,28.198,28198
1136,815,1,23,15:36:25,24.728,24728
1136,842,2,30,15:47:05,24.203,24203
1136,839,1,31,15:48:20,24.146,24146
1136,846,2,32,15:48:59,24.870,24870
1136,807,2,32,15:50:05,36.576,36576
1136,847,2,33,15:50:51,26.297,26297
1136,822,1,33,15:51:24,24.410,24410
1136,815,2,35,15:53:38,24.030,24030
1136,4,2,35,15:53:55,24.501,24501
1136,840,2,36,15:55:36,24.209,24209
1136,1,2,37,15:56:11,24.155,24155
1136,857,2,38,15:57:15,24.670,24670
1136,830,2,41,16:01:54,24.150,24150
1136,840,3,50,16:15:41,25.269,25269
1137,840,1,1,15:06:20,21.123,21123
1137,861,1,10,15:22:39,20.596,20596
1137,4,1,11,15:24:27,20.073,20073
1137,822,1,11,15:25:01,20.045,20045
1137,830,1,12,15:26:10,21.145,21145
1137,847,1,12,15:26:14,19.954,19954
1137,1,1,12,15:26:34,21.289,21289
1137,852,1,12,15:26:54,20.922,20922
1137,815,1,13,15:27:51,20.630,20630
1137,860,1,14,15:30:09,21.276,21276
1137,857,1,15,15:31:28,20.181,20181
1137,807,1,15,15:31:57,21.617,21617
1137,844,1,16,15:33:13,20.671,20671
1137,832,1,17,15:35:11,21.483,21483
1137,840,2,22,15:45:17,20.214,20214
1137,848,1,31,16:00:54,20.287,20287
1137,855,1,34,16:07:12,20.520,20520
1137,846,1,37,16:11:41,19.712,19712
1137,830,2,49,16:33:13,20.725,20725
1137,817,1,49,16:34:12,21.984,21984
1137,839,1,49,16:34:42,20.634,20634
1137,842,1,50,16:36:20,20.257,20257
1138,817,1,10,20:20:46,30.316,30316
1138,848,1,11,20:22:22,29.126,29126
1138,832,1,13,20:25:37,29.385,29385
1138,1,1,17,20:31:54,29.272,29272
1138,4,1,25,20:45:21,29.251,29251
1138,840,1,26,20:47:31,29.816,29816
1138,847,1,27,20:48:22,28.739,28739
1138,815,1,28,20:50:26,28.990,28990
1138,825,1,28,20:50:47,29.707,29707
1138,830,1,29,20:51:28,29.655,29655
1138,807,1,29,20:52:00,29.808,29808
1138,861,1,29,20:52:02,29.772,29772
1138,839,1,29,20:52:22,29.601,29601
1138,846,1,30,20:52:44,29.091,29091
1138,852,1,33,20:58:54,29.662,29662
1138,822,1,33,20:59:22,30.423,30423
1138,855,1,34,21:01:01,29.360,29360
1138,844,1,36,21:03:29,29.042,29042
1138,842,1,37,21:06:04,31.509,31509
1138,857,1,38,21:06:22,29.152,29152
1138,817,2,46,21:20:58,29.066,29066
1138,825,2,49,21:26:52,31.291,31291
1138,817,3,58,21:40:58,29.653,29653
1139,848,1,3,14:09:39,34.983,34983
1139,855,1,13,14:28:22,24.433,24433
1139,822,1,15,14:31:39,24.439,24439
1139,825,1,17,14:34:50,23.966,23966
1139,842,1,18,14:36:29,28.228,28228
1139,852,1,18,14:36:35,24.193,24193
1139,832,1,21,14:41:13,23.963,23963
