driverStandingsId,raceId,driverId,points,position,positionText,wins
73163,1141,4,62.0,9,9,0
73162,1141,857,262.0,4,4,2
73161,1141,1,190.0,7,7,2
73160,1141,846,331.0,2,2,3
73159,1141,847,192.0,6,6,1
73158,1141,844,307.0,3,3,3
73157,1141,832,244.0,5,5,2
73156,1141,815,151.0,8,8,0
73155,1141,830,393.0,1,1,8
73176,1141,861,5.0,19,19,0
73177,1141,859,4.0,20,20,0
73222,1142,861,5.0,19,19,0
73220,1142,858,0.0,22,22,0
73218,1142,842,26.0,12,12,0
73217,1142,839,23.0,14,14,0
73216,1142,807,35.0,10,10,0
73215,1142,848,12.0,16,16,0
73214,1142,852,30.0,11,11,0
73212,1142,825,14.0,15,15,0
73210,1142,840,24.0,13,13,0
73208,1142,857,268.0,4,4,2
73206,1142,846,340.0,2,2,3
73202,1142,815,152.0,8,8,0
73221,1142,860,7.0,18,18,0
73223,1142,859,4.0,20,20,0
73219,1142,822,0.0,23,23,0
73211,1142,855,0.0,21,21,0
73207,1142,1,208.0,7,7,2
73209,1142,4,62.0,9,9,0
73213,1142,817,12.0,17,17,0
73204,1142,844,319.0,3,3,3
73203,1142,832,259.0,5,5,2
73201,1142,830,403.0,1,1,8
73205,1142,847,217.0,6,6,2
73224,1143,830,429.0,1,1,9
73225,1143,815,152.0,8,8,0
73226,1143,832,272.0,5,5,2
73227,1143,844,341.0,3,3,3
73228,1143,847,235.0,6,6,2
73229,1143,846,349.0,2,2,3
73230,1143,1,211.0,7,7,2
73231,1143,857,291.0,4,4,2
73232,1143,4,68.0,9,9,0
73233,1143,840,24.0,13,13,0
73234,1143,855,4.0,20,20,0
73235,1143,825,16.0,15,15,0
73236,1143,817,12.0,17,17,0
73237,1143,852,30.0,12,12,0
73238,1143,848,12.0,16,16,0
73239,1143,807,37.0,10,10,0
73240,1143,839,23.0,14,14,0
73241,1143,842,36.0,11,11,0
73242,1143,822,0.0,22,22,0
73243,1143,858,0.0,23,23,0
73244,1143,860,7.0,18,18,0
73245,1143,861,5.0,19,19,0
73246,1143,859,4.0,21,21,0
73247,1144,830,437.0,1,1,9
